Продукт,Дозировка,Цена (₽)
Semaglutide,5 мг,2 100
Semaglutide,10 мг,3 300
Semaglutide,15 мг,4 200
Semaglutide,20 мг,4 800
Semaglutide,30 мг,6 500
Tirzepatide,5 мг,2 700
Tirzepatide,10 мг,3 300
Tirzepatide,15 мг,4 500
Tirzepatide,20 мг,5 400
Tirzepatide,30 мг,6 500
Tirzepatide,40 мг,7 900
Tirzepatide,50 мг,11 000
Tirzepatide,60 мг,12 500
Retatrutide,5 мг,3 200
Retatrutide,10 мг,6 000
Retatrutide,15 мг,7 800
Retatrutide,20 мг,9 500
Retatrutide,30 мг,12 500
Retatrutide,40 мг,14 500
Retatrutide,50 мг,18 500
Retatrutide,60 мг,19 500
Cagrilintide,5 мг,5 500
Cagrilintide,10 мг,11 000
MT-1 (Melanotan 1),10 мг,1 800
MT-2 (Melanotan 2),10 мг,1 800
HGH 191AA,10 МЕ,2 700
HGH 191AA,15 МЕ,3 900
HGH 191AA,24 МЕ,5 400
HGH 191AA,36 МЕ,8 500
GLOW (TB10+BPC10+GHK50),70 мг,5 500
KLOW (+KPV10),80 мг,5 800
BPC 157,5 мг,1 200
BPC 157,10 мг,1 500
TB 500,2 мг,1 100
TB 500,5 мг,2 200
TB 500,10 мг,3 500
BPC+TB (5+5 мг),10 мг,2 500
BPC+TB (10+10 мг),20 мг,4 500
NAD+,100 мг,1 200
NAD+,500 мг,2 200
NAD+,1000 мг,3 300
Cagri+Sema (5+5 мг),10 мг,7 500
Cagri+Sema (2.5+2.5 мг),5 мг,4 000
PT-141,10 мг,2 000
DSIP,5 мг,1 500
DSIP,10 мг,1 800
DSIP,15 мг,4 000
GHK-CU,50 мг,1 800
GHK-CU,100 мг,3 000
CJC-1295 без DAC,2 мг,1 200
CJC-1295 без DAC,5 мг,2 500
CJC-1295 без DAC,10 мг,4 500
CJC-1295 с DAC,2 мг,2 200
CJC-1295 с DAC,5 мг,4 200
CJC-1295 без DAC + IPA (5+5),10 мг,3 200
AOD9604,2 мг,1 500
AOD9604,5 мг,2 500
AOD9604,10 мг,4 200
Selank,5 мг,1 200
Selank,10 мг,1 800
Semax,5 мг,1 200
Semax,10 мг,1 800
Oxytocin,2 мг,800
Oxytocin,5 мг,1 400
Oxytocin,10 мг,2 000
5-amino-1mq,5 мг,1 500
5-amino-1mq,50 мг,4 000
Epithalon,10 мг,1 200
Epithalon,50 мг,3 800
Adipotide,2 мг,2 200
Adipotide,5 мг,4 000
Snap 8,10 мг,1 300
SS-31,10 мг,3 500
SS-31,50 мг,10 000
IGF-1 LR3,"0,1 мг",1 800
IGF-1 LR3,1 мг,7 000
TSM,2 мг,1 500
TSM,5 мг,3 000
TSM,10 мг,5 000
TSM,20 мг,8 000
IP,5 мг,1 200
IP,10 мг,1 800
Ara-290,10 мг,2 200
MOTS-C,10 мг,2 000
Melatonin,10 мг,1 200
KPV,5 мг,1 400
KPV,10 мг,1 800
VIP,5 мг,3 000
VIP,10 мг,4 200
Bac water,3 мл,400
Bac water,10 мл,500
Sterile water,3 мл,300
Sterile water,10 мл,400
AHK-CU,50 мг,1 800
AHK-CU,100 мг,2 500
Cerbrosylsin,60 мг,2 000
GHRP-2,5 мг,900
GHRP-2,10 мг,1 400
GHRP-2,15 мг,1 800
GHRP-6,5 мг,900
GHRP-6,10 мг,1 400
HCG,5000 IU,2 200
HCG,10000 IU,3 500
Botulinum toxin,100 IU,3 500